ID,associatedWithOccupation,contactDetails,description,endDate,function,name,sourceRecordLink,startDate,type,url,warning,workCount
Q48808167,,,Australian rock duo,,,Polish Club,https://www.wikidata.org/wiki/Q48808167,,musical group,,,
Q7225852,,,band,,,Pollyanna,https://www.wikidata.org/wiki/Q7225852,,musical group,,,
Q2103520,,,Australian rock band,,,Pond,https://www.wikidata.org/wiki/Q2103520,1/1/2008,musical group,,,
Q104216761,,,Australian electronica group,,,Ponyloaf,https://www.wikidata.org/wiki/Q104216761,,musical group,,,
Q7228922,,,,,,Pop! featuring Angie Hart,https://www.wikidata.org/wiki/Q7228922,,musical group,,,
Q7231470,,,extreme metal Australian band,,,Portal,https://www.wikidata.org/wiki/Q7231470,1/1/1994,musical group,,,
Q7235640,,,,,,Pound System,https://www.wikidata.org/wiki/Q7235640,,musical group,,,
Q16967531,,,,,,Powder Monkeys,https://www.wikidata.org/wiki/Q16967531,,musical group,,,
Q1192255,,,Australian rock band,,,Powderfinger,https://www.wikidata.org/wiki/Q1192255,1/1/1989,musical group,,,
Q16967536,,,band,,,Power Glove,https://www.wikidata.org/wiki/Q16967536,,musical group,,,
Q7238959,,,"Indie band from Melbourne, Australia",,,Pray TV,https://www.wikidata.org/wiki/Q7238959,,musical group,,,
Q7239277,,,Australian rock band,,,Pre.shrunk,https://www.wikidata.org/wiki/Q7239277,1/1/1996,musical group,,,
Q7243055,,,,,,Primary,https://www.wikidata.org/wiki/Q7243055,1/1/1995,musical group,,,
Q7243553,,,Australian post-punk band,,,Primitive Calculators,https://www.wikidata.org/wiki/Q7243553,1/1/1978,musical group,,,
Q7247327,,,Australian band,,,Procession,https://www.wikidata.org/wiki/Q7247327,,musical group,,,
Q7248185,,,,,,Professor Ratbaggy,https://www.wikidata.org/wiki/Q7248185,1/1/1999,musical group,,,
Q48812752,,,"""funk-disco-rock-hop"" band from Perth",,,Proton,https://www.wikidata.org/wiki/Q48812752,,musical group,,,
Q1780510,,,Australian new wave band from Melbourne,,,Pseudo Echo,https://www.wikidata.org/wiki/Q1780510,1/1/1982,musical group,,,
Q7255755,,,,,,Psi.Kore,https://www.wikidata.org/wiki/Q7255755,1/1/1996,musical group,,,
Q28052910,,,band,,,Psychonaut,https://www.wikidata.org/wiki/Q28052910,,musical group,,,
Q1259710,,,Australian band,,,Psycroptic,https://www.wikidata.org/wiki/Q1259710,1/1/1999,musical group,,,
Q2118829,,,,,,Purged,https://www.wikidata.org/wiki/Q2118829,,musical group,,,
Q7261392,,,,,,Purple Avengers,https://www.wikidata.org/wiki/Q7261392,,musical group,,,
Q7261422,,,,,,Purple Hearts,https://www.wikidata.org/wiki/Q7261422,,musical group,,,
Q7261491,,,,,,Purplene,https://www.wikidata.org/wiki/Q7261491,,musical group,,,
Q3359910,,,Australian rock band,,,PVT,https://www.wikidata.org/wiki/Q3359910,,musical group,,,
Q7263924,,,,,,Python Lee Jackson,https://www.wikidata.org/wiki/Q7263924,1/1/1965,musical group,,,
Q61400771,,,death metal,,,Caetera,https://www.wikidata.org/wiki/Q61400771,1/1/2011,musical group,,,
Q97633039,,,grindcore,,,The Kill,https://www.wikidata.org/wiki/Q97633039,1/1/2000,musical group,,,
Q7265416,,,,,,QED,https://www.wikidata.org/wiki/Q7265416,1/1/1983,musical group,,,
Q7270953,,,Australian pipe band,,,Queensland Highlanders Pipe Band,https://www.wikidata.org/wiki/Q7270953,,musical group,,,
Q54010309,,,,,,Queensland Pops Orchestra,https://www.wikidata.org/wiki/Q54010309,,musical group,,,
Q2260574,,,,,,Queensland Symphony Orchestra,https://www.wikidata.org/wiki/Q2260574,,musical group,,,
Q7271029,,,"wind ensemble in Brisbane, Australia",,,Queensland Wind Orchestra,https://www.wikidata.org/wiki/Q7271029,,musical group,,,
Q7272803,,,,,,Quo,https://www.wikidata.org/wiki/Q7272803,1/1/1993,musical group,,,
